,TITLE,RESOURCES
VERSION CONTROL,Github,https://youtu.be/tRZGeaHPoaw?si=8wgd1SX25ki2tFyc
CI/CD,Github actions,https://youtu.be/p7V4Aa7qEpw?si=TKBKFT3WP00Y83mX
,ML flow,https://youtu.be/6ngxBkx05Fs?si=npQeFdlFxX59RjQY
,BentoML,https://youtu.be/i_FtfdOKa2M?si=nDUwUEJHO-tovXiN
,DagsHub,https://www.youtube.com/playlist?list=PLC4-OBA5bH3iZKN3IzLAzLZzvPnPt8Ajt
VIRTUALIZATION,Docker,https://www.youtube.com/watch?v=wRQUKNddzx4&list=PL5eh956CtlER4nKazA5U9JV0jy6CQcynn
CONTAINER MANAGEMENT,Kubernetes,https://www.youtube.com/watch?v=A9rcaFKXD3s&list=PL5eh956CtlETZMJEMR866PCS2YNg_3O6d
,Flask,https://www.youtube.com/playlist?list=PLZoTAELRMXVPBaLN3e-uoVRR9hlRFRfUc
API FRAMEWORK,Streamlit,https://youtu.be/D0D4Pa22iG0?si=g08Mdj0yJ7ZJnim4
,FastAPI,https://youtu.be/Wr1JjhTt1Xg?si=2O4Q5wuOAzFhHLTk
,Django,https://www.youtube.com/playlist?list=PLsyeobzWxl7r2ukVgTqIQcl-1T0C2mzau
CLOUD,AWS,https://www.youtube.com/live/kQ9qiIzsFxM?si=CkD_r9Foe0FZIWqQ
,GCP,https://www.datacamp.com/blog/google-cloud-for-data-scientists