TOPICS,TITLE,RESOURCES,CROSS VALIDATION,https://youtu.be/p_Lu-nJsb70?si=uRLT7Dd4dBFLDys-,
1,Linear regression,https://youtu.be/8jazNUpO3lQ?si=xUgrEJDKBGFDm8nx,,,
2,Logistic regression,https://youtu.be/zM4VZR0px8E?si=ed_on1Eq-KiwEl0F,CLASSIFICATION METRICS,https://youtu.be/aWAnNHXIKww?si=bmJut1n1jtfGmjYe,
3,Support Vector Machine,https://youtu.be/efR1C6CvhmE?si=jAv2IEuYZBmfkHvC, REGRESSION METRICS,https://medium.com/ai-mind-labs/regression-evaluation-metrics-382aa97c3ee5,
4,Naive Bayes Theorem,https://youtu.be/O2L2Uv9pdDA?si=AWXFE-Dh24T6riGs,,,
5,K Nearest Neighbours,https://youtu.be/CQveSaMyEwM?si=RVHyaXfoMu5VR_xO,OVERFIT VS UNDERFIT,https://youtu.be/BqzgUnrNhFM?si=sSJQhxk8iC2QG9DE,
6,Decision Trees,https://youtu.be/_L39rN6gz7Y?si=8UtutcxuPyjStNLW,,,
7,Random Forest,https://youtu.be/J4Wdy0Wc_xQ?si=W7IClvAUt-u8oRow,HYPERPARAMETER OPTIMISATION,https://youtu.be/xRhPwQdNMss?si=BuXNj18OhMK6alY9,https://www.youtube.com/live/355u2bDqB7c?si=nQLwK08I2eeQ-av7
8,Adaboost,https://youtu.be/LsK-xG1cLYA?si=lcH6IOxIyDXJ9yC9,,,
9,Gradient Boosting,https://youtu.be/3CC4N4z3GJc?si=A6yKq8m4HDBD612V,,,
10,Xgboost,https://youtu.be/33fGfuleXw0?si=JI_w6egaUvdpDlQ6,,,
11,PCA,https://youtu.be/FgakZw6K1QQ?si=OsFhcgwKkrPnz88k,,,
12,Kmeans clustering,https://youtu.be/EItlUEPCIzM?si=VeQqsjDBMsjZnzpV,,,
13,Hierarchical clustering,https://youtu.be/7xHsRkOdVwo?si=4LpQ2NrPtCjB7sjA,,,
14,DBSCAN,https://youtu.be/RDZUdRSDOok?si=SJSvRF-aT6AQkH1o,,,
15,NLP techniques,https://www.youtube.com/playlist?list=PLeo1K3hjS3uuvuAXhYjV2lMEShq2UYSwX,,,